Cidade,Estado,Sigla
Luisburgo,Minas Gerais,MG
Luislândia,Minas Gerais,MG
Luminárias,Minas Gerais,MG
Luz,Minas Gerais,MG
Machacalis,Minas Gerais,MG
Machado,Minas Gerais,MG
Madre de Deus de Minas,Minas Gerais,MG
Malacacheta,Minas Gerais,MG
Mamonas,Minas Gerais,MG
Manga,Minas Gerais,MG
Manhuaçu,Minas Gerais,MG
Manhumirim,Minas Gerais,MG
Mantena,Minas Gerais,MG
Mar de Espanha,Minas Gerais,MG
Maravilhas,Minas Gerais,MG
Maria da Fé,Minas Gerais,MG
Mariana,Minas Gerais,MG
Marilac,Minas Gerais,MG
Mário Campos,Minas Gerais,MG
Maripá de Minas,Minas Gerais,MG
Marliéria,Minas Gerais,MG
Marmelópolis,Minas Gerais,MG
Martinho Campos,Minas Gerais,MG
Martins Soares,Minas Gerais,MG
Mata Verde,Minas Gerais,MG
Materlândia,Minas Gerais,MG
Mateus Leme,Minas Gerais,MG
Mathias Lobato,Minas Gerais,MG
Matias Barbosa,Minas Gerais,MG
Matias Cardoso,Minas Gerais,MG
Matipó,Minas Gerais,MG
Mato Verde,Minas Gerais,MG
Matozinhos,Minas Gerais,MG
Matutina,Minas Gerais,MG
Medeiros,Minas Gerais,MG
Medina,Minas Gerais,MG
Mendes Pimentel,Minas Gerais,MG
Mercês,Minas Gerais,MG
Mesquita,Minas Gerais,MG
Minas Novas,Minas Gerais,MG
Minduri,Minas Gerais,MG
Mirabela,Minas Gerais,MG
Miradouro,Minas Gerais,MG
Miraí,Minas Gerais,MG
Miravânia,Minas Gerais,MG
Moeda,Minas Gerais,MG
Moema,Minas Gerais,MG
Monjolos,Minas Gerais,MG
Monsenhor Paulo,Minas Gerais,MG
Montalvânia,Minas Gerais,MG
Monte Alegre de Minas,Minas Gerais,MG
Monte Azul,Minas Gerais,MG
Monte Belo,Minas Gerais,MG
Monte Carmelo,Minas Gerais,MG
Monte Formoso,Minas Gerais,MG
Monte Santo de Minas,Minas Gerais,MG
Monte Sião,Minas Gerais,MG
Montes Claros,Minas Gerais,MG
Montezuma,Minas Gerais,MG
Morada Nova de Minas,Minas Gerais,MG
Morro da Garça,Minas Gerais,MG
Morro do Pilar,Minas Gerais,MG
Munhoz,Minas Gerais,MG
Muriaé,Minas Gerais,MG
Mutum,Minas Gerais,MG
Muzambinho,Minas Gerais,MG
Nacip Raydan,Minas Gerais,MG
Nanuque,Minas Gerais,MG
Naque,Minas Gerais,MG
Natalândia,Minas Gerais,MG
Natércia,Minas Gerais,MG
Nazareno,Minas Gerais,MG
Nepomuceno,Minas Gerais,MG
Ninheira,Minas Gerais,MG
Nova Belém,Minas Gerais,MG
Nova Era,Minas Gerais,MG
Nova Lima,Minas Gerais,MG
Nova Módica,Minas Gerais,MG
Nova Ponte,Minas Gerais,MG
Nova Porteirinha,Minas Gerais,MG
Nova Resende,Minas Gerais,MG
Nova Serrana,Minas Gerais,MG
Nova União,Minas Gerais,MG
Novo Cruzeiro,Minas Gerais,MG
Novo Oriente de Minas,Minas Gerais,MG
Novorizonte,Minas Gerais,MG
Olaria,Minas Gerais,MG
Olhos d'Água,Minas Gerais,MG
Olímpio Noronha,Minas Gerais,MG
Oliveira,Minas Gerais,MG
Oliveira Fortes,Minas Gerais,MG
Onça de Pitangui,Minas Gerais,MG
Oratórios,Minas Gerais,MG
Orizânia,Minas Gerais,MG
Ouro Branco,Minas Gerais,MG
Ouro Fino,Minas Gerais,MG
Ouro Preto,Minas Gerais,MG
Ouro Verde de Minas,Minas Gerais,MG
Padre Carvalho,Minas Gerais,MG
Padre Paraíso,Minas Gerais,MG
Pai Pedro,Minas Gerais,MG
Paineiras,Minas Gerais,MG
Pains,Minas Gerais,MG
Paiva,Minas Gerais,MG
Palma,Minas Gerais,MG
Palmópolis,Minas Gerais,MG
Papagaios,Minas Gerais,MG
Pará de Minas,Minas Gerais,MG
Paracatu,Minas Gerais,MG
Paraguaçu,Minas Gerais,MG
Paraisópolis,Minas Gerais,MG
Paraopeba,Minas Gerais,MG
Passa Quatro,Minas Gerais,MG
Passa Tempo,Minas Gerais,MG
Passa-Vinte,Minas Gerais,MG
Passabém,Minas Gerais,MG
Passos,Minas Gerais,MG
Patis,Minas Gerais,MG
Patos de Minas,Minas Gerais,MG
Patrocínio,Minas Gerais,MG
Patrocínio do Muriaé,Minas Gerais,MG
Paula Cândido,Minas Gerais,MG
Paulistas,Minas Gerais,MG
Pavão,Minas Gerais,MG
Peçanha,Minas Gerais,MG
Pedra Azul,Minas Gerais,MG
Pedra Bonita,Minas Gerais,MG
Pedra do Anta,Minas Gerais,MG
Pedra do Indaiá,Minas Gerais,MG
Pedra Dourada,Minas Gerais,MG
Pedralva,Minas Gerais,MG
Pedras de Maria da Cruz,Minas Gerais,MG
Pedrinópolis,Minas Gerais,MG
Pedro Leopoldo,Minas Gerais,MG
Pedro Teixeira,Minas Gerais,MG
Pequeri,Minas Gerais,MG
Pequi,Minas Gerais,MG
Perdigão,Minas Gerais,MG
Perdizes,Minas Gerais,MG
Perdões,Minas Gerais,MG
Periquito,Minas Gerais,MG
Pescador,Minas Gerais,MG
Piau,Minas Gerais,MG
Piedade de Caratinga,Minas Gerais,MG
Piedade de Ponte Nova,Minas Gerais,MG
Piedade do Rio Grande,Minas Gerais,MG
Piedade dos Gerais,Minas Gerais,MG
Pimenta,Minas Gerais,MG
Pingo-d'Água,Minas Gerais,MG
Pintópolis,Minas Gerais,MG
Piracema,Minas Gerais,MG
Pirajuba,Minas Gerais,MG
Piranga,Minas Gerais,MG
Piranguçu,Minas Gerais,MG
Piranguinho,Minas Gerais,MG
Pirapetinga,Minas Gerais,MG
Pirapora,Minas Gerais,MG
Piraúba,Minas Gerais,MG
Pitangui,Minas Gerais,MG
Piumhi,Minas Gerais,MG
Planura,Minas Gerais,MG
Poço Fundo,Minas Gerais,MG
Poços de Caldas,Minas Gerais,MG
Pocrane,Minas Gerais,MG
Pompéu,Minas Gerais,MG
Ponte Nova,Minas Gerais,MG
Ponto Chique,Minas Gerais,MG
Ponto dos Volantes,Minas Gerais,MG
Porteirinha,Minas Gerais,MG
Porto Firme,Minas Gerais,MG
Poté,Minas Gerais,MG
Pouso Alegre,Minas Gerais,MG
Pouso Alto,Minas Gerais,MG
Prados,Minas Gerais,MG
Prata,Minas Gerais,MG
Pratápolis,Minas Gerais,MG
Pratinha,Minas Gerais,MG
Presidente Bernardes,Minas Gerais,MG
Presidente Juscelino,Minas Gerais,MG
Presidente Kubitschek,Minas Gerais,MG
Presidente Olegário,Minas Gerais,MG
Prudente de Morais,Minas Gerais,MG
Quartel Geral,Minas Gerais,MG
Queluzito,Minas Gerais,MG
Raposos,Minas Gerais,MG
Raul Soares,Minas Gerais,MG
Recreio,Minas Gerais,MG
Reduto,Minas Gerais,MG
Resende Costa,Minas Gerais,MG
Resplendor,Minas Gerais,MG
Ressaquinha,Minas Gerais,MG
Riachinho,Minas Gerais,MG
Riacho dos Machados,Minas Gerais,MG
Ribeirão das Neves,Minas Gerais,MG
Ribeirão Vermelho,Minas Gerais,MG
Rio Acima,Minas Gerais,MG
Rio Casca,Minas Gerais,MG
Rio do Prado,Minas Gerais,MG
Rio Doce,Minas Gerais,MG
Rio Espera,Minas Gerais,MG
Rio Manso,Minas Gerais,MG
Rio Novo,Minas Gerais,MG
Rio Paranaíba,Minas Gerais,MG
